Rev_id,Retailer,Division,Category,Department,Product_URL,Brand,Product_Name,Final_Price_after_Discount,Review_Link,Review_Header,Review_Creation_Date,Review_Rating_Score,Review_Text
12,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=751&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,"Seems well built, lifetime motor warranty. Was easy to assemble and hang. Purchased two. Would pu...",11-Sep-18,5,"Seems well built, lifetime motor warranty. Was easy to assemble and hang. Purchased two. Would purchase again."
13,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=301&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,It was easy to install. It's whisper quiet and puts out the perfect breeze for sleeping. The perf...,25-Jun-19,5,It was easy to install. It's whisper quiet and puts out the perfect breeze for sleeping. The perfect replacement for our old noisy fan.
14,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=201&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,I love it !!...,17-Sep-19,5,I love it !!
15,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=921&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,Easy to assemble and install. Beautiful fixture,12-Jun-18,5,Easy to assemble and install. Beautiful fixture
16,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=851&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,Great color and powerful fan...,17-Jul-18,5,Great color and powerful fan
17,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=791&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,Easy to install. Very quiet - no motor noise at all. I have installed four of these in my home no...,17-Aug-18,5,Easy to install. Very quiet - no motor noise at all. I have installed four of these in my home now. They are a real bargain at under $75.
18,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=511&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,easy to assemble. good looking an great quality product...,8-Feb-19,5,easy to assemble. good looking an great quality product
19,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=351&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,We installed this Rockport fan yesterday. My husband (who is 72) has installed many fans over the...,16-May-19,5,"We installed this Rockport fan yesterday. My husband (who is 72) has installed many fans over the years and this was by far the easiest. The instructions could be more detailed, particularly for someone with less experience. But the fan is designed to make the installation as simple as possible. We installed the light kit, but elected to not use it. We preferred the clean look of the fan without it and didn't need the lights. We love this fan. It is quiet, balanced and looks great! For us it was the perfect choice."
20,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=201&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,"It was a really good fan, easy install, and blew...",10-Sep-19,3,"It was a really good fan, easy install, and blew well, my only issue was that the fan blade broke 1 day after it was installed. I'm not sure if I just got a defective one or if they're just not super sturdy but I exchanged it for another one so I will see if the 2nd times a charm."
21,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=691&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,The setup was easy. We did have to look up...,18-Oct-18,4,The setup was easy. We did have to look up a few installation videos- it was our first time ever installing a ceiling fan. The product is beautiful.
22,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=341&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,"So far so good! Runs well, Really quiet. Good lighting...",28-May-19,4,"So far so good! Runs well, Really quiet. Good lighting and air circulation."
23,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=721&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,I really love the look of the fan-the blade and fan finishes are very pretty and sleek. The light...,25-Sep-18,4,"I really love the look of the fan-the blade and fan finishes are very pretty and sleek. The lights are nice and bright! Please be advised that the fan and remote come in separate boxes with separate instructions. The remote comes as a ""universal"" remote and the instructions are not very clear with how to connect the remote with the fan and the house wires. Luckily we had purchased a different Hampton Bay fan with remote for another room so we were able to follow the wires and instructions from that model and copy them for this particular fan. Overall the function of the fan/remote are easy to use and the fan is very quiet and powerful."
24,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=401&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,"This is a beautiful, smple, but elegant addition to our...",17-Apr-19,4,"This is a beautiful, smple, but elegant addition to our bedroom."
25,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=401&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,The fan blades clip into the fan blade arm without...,23-Apr-19,4,"The fan blades clip into the fan blade arm without the use of tools which is a nice feature. I did have to balance the blades after i assembled the unit, but it didn’t take much. Great product for the price."
26,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Hampton-Bay-Rockport-52-in-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-51750/301136112,Hampton Bay,Rockport 52 in. LED Brushed Nickel Ceiling Fan with Light Kit,69.97,https://www.homedepot.com/ReviewServices/reviews/v1/product/301136112?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=381&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,It was very difficult to attach the fan blades onto...,30-Apr-19,1,It was very difficult to attach the fan blades onto the motor....... it was such a tight spot to work with..... very disappointed with the painstakingly assembly of this product.
27,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Home-Decorators-Collection-Shanahan-52-in-LED-Indoor-Outdoor-Bronze-Ceiling-Fan-with-Light-Kit-59201/307638776?keyword=1003939639&semanticToken=d0330000011_20200121111231590988_94ng+d0330000011+%3E++cnn%3A%7B11%3A0%7D+cnr%3A%7B7%3A1%7D+cnd%3A%7B4%3A0%7D+cne%3A%7B8%3A0%7D+cnb%3A%7B9%3A0%7D+cns%3A%7B5%3A0%7D+cnx%3A%7B3%3A0%7D+st%3A%7B1003939639%7D%3Ast+oos%3A%7B0%3A1%7D+dln%3A%7B585354%7D+qu%3A%7B1003939639%7D%3Aqu,Home Decorators Collection,Shanahan 52 in. LED Indoor/Outdoor Bronze Ceiling Fan with Light Kit,149,https://www.homedepot.com/ReviewServices/reviews/v1/product/307638776?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=51&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,Nice Fan - easy to install,3-Aug-19,5,"Video instructions on Home Depot’s site were perfect. Nice fan, very stable when running and I installed on a sloped ceiling"
28,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Home-Decorators-Collection-Shanahan-52-in-LED-Indoor-Outdoor-Bronze-Ceiling-Fan-with-Light-Kit-59201/307638776?keyword=1003939639&semanticToken=d0330000011_20200121111231590988_94ng+d0330000011+%3E++cnn%3A%7B11%3A0%7D+cnr%3A%7B7%3A1%7D+cnd%3A%7B4%3A0%7D+cne%3A%7B8%3A0%7D+cnb%3A%7B9%3A0%7D+cns%3A%7B5%3A0%7D+cnx%3A%7B3%3A0%7D+st%3A%7B1003939639%7D%3Ast+oos%3A%7B0%3A1%7D+dln%3A%7B585354%7D+qu%3A%7B1003939639%7D%3Aqu,Home Decorators Collection,Shanahan 52 in. LED Indoor/Outdoor Bronze Ceiling Fan with Light Kit,149,https://www.homedepot.com/ReviewServices/reviews/v1/product/307638776?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=11&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,Light weight and easy to assemble and mount. Did not require balancing and runs quite. Single LED...,29-Oct-19,5,Light weight and easy to assemble and mount. Did not require balancing and runs quite. Single LED bulb delivers adequate lighting.
29,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Home-Decorators-Collection-Shanahan-52-in-LED-Indoor-Outdoor-Bronze-Ceiling-Fan-with-Light-Kit-59201/307638776?keyword=1003939639&semanticToken=d0330000011_20200121111231590988_94ng+d0330000011+%3E++cnn%3A%7B11%3A0%7D+cnr%3A%7B7%3A1%7D+cnd%3A%7B4%3A0%7D+cne%3A%7B8%3A0%7D+cnb%3A%7B9%3A0%7D+cns%3A%7B5%3A0%7D+cnx%3A%7B3%3A0%7D+st%3A%7B1003939639%7D%3Ast+oos%3A%7B0%3A1%7D+dln%3A%7B585354%7D+qu%3A%7B1003939639%7D%3Aqu,Home Decorators Collection,Shanahan 52 in. LED Indoor/Outdoor Bronze Ceiling Fan with Light Kit,149,https://www.homedepot.com/ReviewServices/reviews/v1/product/307638776?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=61&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,We were replacing two fans on our covered patio and...,9-Jul-19,5,"We were replacing two fans on our covered patio and wanted to purchase outdoor fans with a high CFM. This fan not only met that criteria but looks great as well. We had them installed by a handyman, I didn’t want my husband on a ladder and we have 10 foot ceilings. Very pleased with our purchase."
30,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Home-Decorators-Collection-Ashby-Park-52-in-White-Color-Changing-Integrated-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-and-Remote-Control-59252/308039187?keyword=1004065046&semanticToken=d0330000011_20200121111244655779_sw9n+d0330000011+%3E++cnn%3A%7B11%3A0%7D+cnr%3A%7B7%3A1%7D+cnd%3A%7B4%3A0%7D+cne%3A%7B8%3A0%7D+cnb%3A%7B9%3A0%7D+cns%3A%7B5%3A0%7D+cnx%3A%7B3%3A0%7D+st%3A%7B1004065046%7D%3Ast+oos%3A%7B0%3A1%7D+dln%3A%7B585354%7D+qu%3A%7B1004065046%7D%3Aqu,Home Decorators Collection,Ashby Park 52 in. White Color Changing Integrated LED Brushed Nickel Ceiling Fan with Light Kit and Remote Control,139,https://www.homedepot.com/ReviewServices/reviews/v1/product/308039187?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=11&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,"Very quiet and really moves the air. We bought this for our master bedroom, and now myy husband w...",4-Jun-19,5,"Very quiet and really moves the air. We bought this for our master bedroom, and now myy husband wants to get one for the living room and the family room.  This fan looks great and works well!"
31,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Home-Decorators-Collection-Ashby-Park-52-in-White-Color-Changing-Integrated-LED-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-and-Remote-Control-59252/308039187?keyword=1004065046&semanticToken=d0330000011_20200121111244655779_sw9n+d0330000011+%3E++cnn%3A%7B11%3A0%7D+cnr%3A%7B7%3A1%7D+cnd%3A%7B4%3A0%7D+cne%3A%7B8%3A0%7D+cnb%3A%7B9%3A0%7D+cns%3A%7B5%3A0%7D+cnx%3A%7B3%3A0%7D+st%3A%7B1004065046%7D%3Ast+oos%3A%7B0%3A1%7D+dln%3A%7B585354%7D+qu%3A%7B1004065046%7D%3Aqu,Home Decorators Collection,Ashby Park 52 in. White Color Changing Integrated LED Brushed Nickel Ceiling Fan with Light Kit and Remote Control,139,https://www.homedepot.com/ReviewServices/reviews/v1/product/308039187?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=41&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,This is the best ceiling fan we ever bought. It...,31-Dec-19,5,This is the best ceiling fan we ever bought. It looks modern. It is quiet. No lights to dust. We put Velcro on the remote on our bedside stand so we would not misplace it. If I could afford it I would replace the other 3 fans in our house to be this model. I would definitely buy this again!
32,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Home-Decorators-Collection-Windward-IV-52-in-LED-Indoor-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-and-Remote-Control-26663/301163154?keyword=1002543113&semanticToken=d0330000011_20200121111304632001_9q3t+d0330000011+%3E++cnn%3A%7B11%3A0%7D+cnr%3A%7B7%3A1%7D+cnd%3A%7B4%3A0%7D+cne%3A%7B8%3A0%7D+cnb%3A%7B9%3A0%7D+cns%3A%7B5%3A0%7D+cnx%3A%7B3%3A0%7D+st%3A%7B1002543113%7D%3Ast+oos%3A%7B0%3A1%7D+dln%3A%7B585354%7D+qu%3A%7B1002543113%7D%3Aqu,Home Decorators Collection,Windward IV 52 in. LED Indoor Brushed Nickel Ceiling Fan with Light Kit and Remote Control,169,https://www.homedepot.com/ReviewServices/reviews/v1/product/301163154?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=251&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,This fan totally met my expectations! Clean looking with no...,24-Dec-19,5,This fan totally met my expectations! Clean looking with no hanging chains (for turning on and off). Has a remote control. Love it!
33,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Home-Decorators-Collection-Windward-IV-52-in-LED-Indoor-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-and-Remote-Control-26663/301163154?keyword=1002543113&semanticToken=d0330000011_20200121111304632001_9q3t+d0330000011+%3E++cnn%3A%7B11%3A0%7D+cnr%3A%7B7%3A1%7D+cnd%3A%7B4%3A0%7D+cne%3A%7B8%3A0%7D+cnb%3A%7B9%3A0%7D+cns%3A%7B5%3A0%7D+cnx%3A%7B3%3A0%7D+st%3A%7B1002543113%7D%3Ast+oos%3A%7B0%3A1%7D+dln%3A%7B585354%7D+qu%3A%7B1002543113%7D%3Aqu,Home Decorators Collection,Windward IV 52 in. LED Indoor Brushed Nickel Ceiling Fan with Light Kit and Remote Control,169,https://www.homedepot.com/ReviewServices/reviews/v1/product/301163154?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=401&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,Great fan. Easy to assemble. Whisper quiet...,9-Jul-19,5,Great fan. Easy to assemble. Whisper quiet
34,Homedepot,Lighting,Ceiling Fans,Ceiling Fans With Lights,https://www.homedepot.com/p/Home-Decorators-Collection-Windward-IV-52-in-LED-Indoor-Brushed-Nickel-Ceiling-Fan-with-Light-Kit-and-Remote-Control-26663/301163154?keyword=1002543113&semanticToken=d0330000011_20200121111304632001_9q3t+d0330000011+%3E++cnn%3A%7B11%3A0%7D+cnr%3A%7B7%3A1%7D+cnd%3A%7B4%3A0%7D+cne%3A%7B8%3A0%7D+cnb%3A%7B9%3A0%7D+cns%3A%7B5%3A0%7D+cnx%3A%7B3%3A0%7D+st%3A%7B1002543113%7D%3Ast+oos%3A%7B0%3A1%7D+dln%3A%7B585354%7D+qu%3A%7B1002543113%7D%3Aqu,Home Decorators Collection,Windward IV 52 in. LED Indoor Brushed Nickel Ceiling Fan with Light Kit and Remote Control,169,https://www.homedepot.com/ReviewServices/reviews/v1/product/301163154?key=x5w9jA8tWVGcqRhujrHTvjRwQfH8MkFc&startindex=601&pagesize=10&recfirstpage=10&stats=true&sort=mosthelpfull,The fan was really easy to assemble and it’s installation...,2-Jan-19,5,The fan was really easy to assemble and it’s installation was easier than a lot of fans.
